id,word,lexicality,N,RT,RTSD,zRT,zRTSD,ERR,length,tstroke,wfreq,wfreq/mil,cd,C1stroke,C2stroke,C3stroke,C4stroke,C1nwf,C2nwf,C3nwf,C4nwf,C1cf,C2cf,C3cf,C4cf,C1nom,C2nom,C3nom,C4nom,C1nop,C2nop,C3nop,C4nop,C1pr1,C1pr2,C1pr3,C1pr4,C1pr5,C2pr1,C2pr2,C2pr3,C2pr4,C2pr5,C3pr1,C3pr2,C3pr3,C3pr4,C3pr5,C4pr1,C4pr2,C4pr3,C4pr4,C4pr5
100001,乜,1,24,1180.97,350.39,0.875,0.915,40.00,1,2,2,0.06,2,2,,,,0,,,,2,,,,2,,,,2,,,,miē,niè,,,,,,,,,,,,,,,,,,
100002,凡,1,40,778.38,319.60,-0.135,1.138,4.76,1,3,186,5.54,118,3,,,,25,,,,1875,,,,6,,,,1,,,,fán,,,,,,,,,,,,,,,,,,,
100003,口,1,41,682.42,224.00,-0.594,0.682,2.38,1,3,4127,123.02,2431,3,,,,208,,,,21385,,,,5,,,,1,,,,kǒu,,,,,,,,,,,,,,,,,,,
100004,土,1,40,704.94,129.81,-0.440,0.510,0.00,1,3,772,23.01,457,3,,,,108,,,,4871,,,,9,,,,1,,,,tǔ,,,,,,,,,,,,,,,,,,,
100005,女,1,40,680.63,240.38,-0.561,0.739,0.00,1,3,8343,248.70,3433,3,,,,133,,,,76693,,,,4,,,,2,,,,nǚ,rǔ,,,,,,,,,,,,,,,,,,
100006,小,1,41,651.17,190.37,-0.593,0.594,0.00,1,3,34967,1042.34,5838,3,,,,288,,,,99468,,,,6,,,,1,,,,xiǎo,,,,,,,,,,,,,,,,,,,
100007,山,1,38,668.08,236.15,-0.522,0.684,5.00,1,3,2213,65.97,1096,3,,,,166,,,,8779,,,,4,,,,1,,,,shān,,,,,,,,,,,,,,,,,,,
100008,不,1,38,660.97,176.19,-0.590,0.481,2.56,1,4,689161,20543.44,6242,4,,,,812,,,,904675,,,,5,,,,1,,,,bù,,,,,,,,,,,,,,,,,,,
100009,予,1,38,779.29,263.78,-0.265,0.692,5.00,1,4,68,2.03,57,4,,,,10,,,,1630,,,,2,,,,2,,,,yú,yǔ,,,,,,,,,,,,,,,,,,
100010,仇,1,38,675.99,208.07,-0.553,0.790,5.00,1,4,184,5.48,162,4,,,,21,,,,2085,,,,3,,,,2,,,,chóu,qiú,,,,,,,,,,,,,,,,,,
100011,今,1,40,740.35,273.10,-0.308,0.898,2.44,1,4,1446,43.10,1034,4,,,,33,,,,44976,,,,1,,,,1,,,,jīn,,,,,,,,,,,,,,,,,,,
100012,仍,1,41,816.59,261.30,-0.010,0.906,0.00,1,4,1886,56.22,1247,4,,,,3,,,,5117,,,,3,,,,1,,,,réng,,,,,,,,,,,,,,,,,,,
100013,厄,1,36,873.52,317.51,0.100,0.890,10.00,1,4,513,15.29,161,4,,,,3,,,,1352,,,,5,,,,1,,,,è,,,,,,,,,,,,,,,,,,,
100014,天,1,41,657.35,268.85,-0.649,0.794,2.38,1,4,50660,1510.14,6117,4,,,,326,,,,127053,,,,9,,,,1,,,,tiān,,,,,,,,,,,,,,,,,,,
100015,尺,1,41,736.35,241.43,-0.426,0.665,2.38,1,4,620,18.48,377,4,,,,26,,,,2651,,,,6,,,,2,,,,chǐ,chě,,,,,,,,,,,,,,,,,,
100016,心,1,39,659.96,147.89,-0.608,0.488,2.50,1,4,8955,266.94,3795,4,,,,458,,,,83418,,,,3,,,,1,,,,xīn,,,,,,,,,,,,,,,,,,,
100017,户,1,38,692.97,197.55,-0.462,0.597,5.00,1,4,591,17.62,377,4,,,,54,,,,5836,,,,5,,,,1,,,,hù,,,,,,,,,,,,,,,,,,,
100018,斤,1,39,704.29,225.56,-0.409,0.778,4.88,1,4,67,2.00,56,4,,,,8,,,,369,,,,2,,,,1,,,,jīn,,,,,,,,,,,,,,,,,,,
100019,毋,1,32,932.61,187.61,0.334,0.457,20.00,1,4,28,0.83,23,4,,,,3,,,,133,,,,3,,,,1,,,,wú,,,,,,,,,,,,,,,,,,,
100020,比,1,38,699.90,228.10,-0.462,0.636,2.56,1,4,21371,637.06,5555,4,,,,72,,,,51838,,,,8,,,,1,,,,bǐ,,,,,,,,,,,,,,,,,,,
100021,毛,1,39,605.33,191.32,-0.752,0.575,2.50,1,4,2068,61.65,1176,4,,,,104,,,,6487,,,,11,,,,1,,,,máo,,,,,,,,,,,,,,,,,,,
100022,氏,1,39,779.19,237.79,-0.190,0.792,2.50,1,4,289,8.61,162,4,,,,8,,,,893,,,,4,,,,2,,,,shì,zhī,,,,,,,,,,,,,,,,,,
100023,气,1,41,692.85,285.08,-0.443,0.991,0.00,1,4,3864,115.18,2326,4,,,,340,,,,28334,,,,10,,,,1,,,,qì,,,,,,,,,,,,,,,,,,,
100024,爪,1,41,706.41,282.30,-0.423,0.873,0.00,1,4,200,5.96,103,4,,,,7,,,,563,,,,5,,,,2,,,,zhǎo,zhuǎ,,,,,,,,,,,,,,,,,,
100025,片,1,39,742.72,331.17,-0.368,0.830,2.50,1,4,4597,137.03,2420,4,,,,113,,,,21431,,,,7,,,,2,,,,piàn,piān,,,,,,,,,,,,,,,,,,
100026,犬,1,42,650.65,132.79,-0.606,0.454,0.00,1,4,597,17.80,286,4,,,,16,,,,1055,,,,1,,,,1,,,,quǎn,,,,,,,,,,,,,,,,,,,
100027,代,1,39,755.23,281.13,-0.349,0.857,7.14,1,5,1316,39.23,851,5,,,,104,,,,15142,,,,4,,,,1,,,,dài,,,,,,,,,,,,,,,,,,,
100028,充,1,37,717.90,317.74,-0.457,1.058,7.50,1,6,153,4.56,130,6,,,,32,,,,4670,,,,5,,,,1,,,,chōng,,,,,,,,,,,,,,,,,,,
100029,写,1,39,672.47,349.54,-0.619,0.865,2.50,1,5,13589,405.08,3955,5,,,,53,,,,16083,,,,2,,,,1,,,,xiě,,,,,,,,,,,,,,,,,,,
100030,北,1,41,620.04,140.83,-0.692,0.592,0.00,1,5,1011,30.14,600,5,,,,54,,,,3768,,,,3,,,,2,,,,běi,bèi,,,,,,,,,,,,,,,,,,
100031,匝,1,36,954.55,324.67,0.372,0.832,10.00,1,5,20,0.60,11,5,,,,0,,,,20,,,,2,,,,1,,,,zā,,,,,,,,,,,,,,,,,,,
100032,卯,1,34,890.76,234.41,0.182,0.685,12.82,1,5,25,0.75,21,5,,,,0,,,,25,,,,4,,,,1,,,,mǎo,,,,,,,,,,,,,,,,,,,
100033,厉,1,39,773.80,252.28,-0.264,0.720,2.50,1,5,6,0.18,6,5,,,,9,,,,2901,,,,6,,,,1,,,,lì,,,,,,,,,,,,,,,,,,,
100034,叫,1,40,701.66,214.61,-0.460,0.673,0.00,1,5,34648,1032.83,5853,5,,,,45,,,,41269,,,,1,,,,1,,,,jiào,,,,,,,,,,,,,,,,,,,
100035,右,1,41,678.97,212.80,-0.475,0.728,0.00,1,5,1738,51.81,903,5,,,,26,,,,4783,,,,7,,,,1,,,,yòu,,,,,,,,,,,,,,,,,,,
100036,号,1,40,775.32,345.54,-0.235,1.007,2.44,1,5,11862,353.60,3261,5,,,,109,,,,21571,,,,10,,,,2,,,,hào,háo,,,,,,,,,,,,,,,,,,
100037,外,1,37,715.10,232.93,-0.365,0.729,7.50,1,5,4058,120.97,2363,5,,,,201,,,,31747,,,,9,,,,1,,,,wài,,,,,,,,,,,,,,,,,,,
100038,巨,1,41,678.90,165.02,-0.520,0.515,2.38,1,4,332,9.90,209,4,,,,31,,,,3124,,,,2,,,,1,,,,jù,,,,,,,,,,,,,,,,,,,
100039,汉,1,42,744.70,354.60,-0.352,1.237,0.00,1,5,475,14.16,230,5,,,,31,,,,4874,,,,4,,,,1,,,,hàn,,,,,,,,,,,,,,,,,,,
100040,玄,1,36,771.29,226.84,-0.238,0.739,10.00,1,5,62,1.85,33,5,,,,8,,,,190,,,,3,,,,1,,,,xuán,,,,,,,,,,,,,,,,,,,
100041,玉,1,39,641.22,185.61,-0.667,0.538,2.50,1,5,161,4.80,72,5,,,,39,,,,1240,,,,3,,,,1,,,,yù,,,,,,,,,,,,,,,,,,,
100042,用,1,39,633.22,216.15,-0.650,0.644,4.88,1,5,52436,1563.08,6173,5,,,,193,,,,79299,,,,7,,,,1,,,,yòng,,,,,,,,,,,,,,,,,,,
100043,田,1,37,769.35,367.16,-0.213,1.006,7.50,1,5,495,14.76,156,5,,,,32,,,,1819,,,,5,,,,1,,,,tián,,,,,,,,,,,,,,,,,,,
100044,白,1,39,710.20,174.51,-0.404,0.535,0.00,1,5,2684,80.01,1565,5,,,,212,,,,41987,,,,15,,,,1,,,,bái,,,,,,,,,,,,,,,,,,,
100045,矢,1,37,769.80,154.32,-0.230,0.489,7.50,1,5,42,1.25,23,5,,,,9,,,,123,,,,7,,,,1,,,,shǐ,,,,,,,,,,,,,,,,,,,
100046,立,1,39,744.08,330.10,-0.417,0.908,2.50,1,5,532,15.86,387,5,,,,99,,,,10194,,,,5,,,,1,,,,lì,,,,,,,,,,,,,,,,,,,
100047,乒,1,30,953.97,388.82,0.350,1.222,26.83,1,6,11,0.33,7,6,,,,6,,,,157,,,,2,,,,1,,,,pīng,,,,,,,,,,,,,,,,,,,
100048,亥,1,36,918.15,285.11,0.303,0.985,12.20,1,6,27,0.80,9,6,,,,3,,,,215,,,,2,,,,1,,,,hài,,,,,,,,,,,,,,,,,,,
100049,亦,1,38,716.73,183.17,-0.390,0.575,5.00,1,6,251,7.48,188,6,,,,10,,,,341,,,,5,,,,1,,,,yì,,,,,,,,,,,,,,,,,,,
100050,份,1,40,639.30,110.02,-0.620,0.461,4.76,1,6,10154,302.68,3987,6,,,,31,,,,14754,,,,4,,,,2,,,,fèn,bīn,,,,,,,,,,,,,,,,,,
100051,伍,1,41,743.36,255.22,-0.345,0.830,2.38,1,6,77,2.30,40,6,,,,12,,,,3454,,,,5,,,,1,,,,wǔ,,,,,,,,,,,,,,,,,,,
100052,伙,1,37,740.29,192.65,-0.329,0.652,7.50,1,6,914,27.25,659,6,,,,30,,,,37637,,,,4,,,,1,,,,huǒ,,,,,,,,,,,,,,,,,,,
100053,伛,1,26,1118.47,408.36,1.172,2.248,35.00,1,6,1,0.03,1,6,,,,0,,,,1,,,,1,,,,1,,,,yǔ,,,,,,,,,,,,,,,,,,,
100054,全,1,41,714.39,229.08,-0.351,0.709,0.00,1,6,7693,229.32,3607,6,,,,140,,,,47545,,,,5,,,,1,,,,quán,,,,,,,,,,,,,,,,,,,
100055,农,1,39,726.23,329.54,-0.309,1.193,2.50,1,6,80,2.38,48,6,,,,52,,,,2255,,,,3,,,,1,,,,nóng,,,,,,,,,,,,,,,,,,,
100056,匠,1,37,748.63,312.35,-0.271,1.156,5.13,1,6,118,3.52,58,6,,,,23,,,,535,,,,3,,,,1,,,,jiàng,,,,,,,,,,,,,,,,,,,
100057,圭,1,27,997.59,368.57,0.447,0.981,32.50,1,6,88,2.62,22,6,,,,2,,,,183,,,,5,,,,1,,,,guī,,,,,,,,,,,,,,,,,,,
100058,地,1,40,665.07,181.18,-0.640,0.534,0.00,1,6,18009,536.84,4878,6,,,,346,,,,78129,,,,11,,,,2,,,,dì,de,,,,,,,,,,,,,,,,,,
100059,夷,1,37,905.08,363.45,0.240,1.017,9.76,1,6,28,0.83,21,6,,,,6,,,,720,,,,10,,,,1,,,,yí,,,,,,,,,,,,,,,,,,,
100060,存,1,41,670.64,176.10,-0.534,0.495,0.00,1,6,982,29.27,767,6,,,,65,,,,9155,,,,5,,,,1,,,,cún,,,,,,,,,,,,,,,,,,,
100061,当,1,39,745.94,259.72,-0.258,0.840,2.50,1,6,29619,882.92,5787,6,,,,131,,,,80228,,,,18,,,,3,,,,dāng,dàng,dang,,,,,,,,,,,,,,,,,
100062,忙,1,42,582.62,123.60,-0.826,0.394,0.00,1,6,8342,248.67,3818,6,,,,28,,,,15130,,,,3,,,,1,,,,máng,,,,,,,,,,,,,,,,,,,
100063,朲,1,0,,,,,100.00,1,6,5,0.15,1,6,,,,0,,,,5,,,,2,,,,1,,,,rén,,,,,,,,,,,,,,,,,,,
100064,朵,1,39,699.87,200.64,-0.495,0.616,2.50,1,6,388,11.57,229,6,,,,4,,,,1831,,,,4,,,,1,,,,duǒ,,,,,,,,,,,,,,,,,,,
100065,牟,1,27,950.06,276.91,0.357,0.849,32.50,1,6,4,0.12,3,6,,,,4,,,,40,,,,6,,,,2,,,,móu,mù,,,,,,,,,,,,,,,,,,
100066,百,1,41,729.17,319.55,-0.309,1.126,0.00,1,6,981,29.24,673,6,,,,239,,,,9469,,,,2,,,,1,,,,bǎi,,,,,,,,,,,,,,,,,,,
100067,礼,1,39,632.59,157.13,-0.640,0.487,2.50,1,5,854,25.46,550,5,,,,92,,,,14769,,,,6,,,,1,,,,lǐ,,,,,,,,,,,,,,,,,,,
100068,糸,1,9,1050.52,238.23,0.698,0.657,76.92,1,6,1,0.03,1,6,,,,0,,,,1,,,,5,,,,2,,,,mì,sī,,,,,,,,,,,,,,,,,,
100069,肉,1,39,767.70,449.82,-0.316,1.235,2.50,1,6,2456,73.21,1292,6,,,,95,,,,6996,,,,6,,,,1,,,,ròu,,,,,,,,,,,,,,,,,,,
100070,臣,1,40,709.38,177.15,-0.485,0.460,0.00,1,6,62,1.85,29,6,,,,15,,,,467,,,,4,,,,1,,,,chén,,,,,,,,,,,,,,,,,,,
100071,自,1,36,773.09,372.45,-0.261,1.192,12.20,1,6,3743,111.58,2220,6,,,,276,,,,98698,,,,4,,,,1,,,,zì,,,,,,,,,,,,,,,,,,,
100072,虫,1,40,631.67,237.14,-0.692,0.598,2.44,1,6,919,27.39,418,6,,,,64,,,,3228,,,,2,,,,1,,,,chóng,,,,,,,,,,,,,,,,,,,
100073,血,1,38,621.72,152.90,-0.705,0.461,5.00,1,6,4749,141.56,1944,6,,,,140,,,,14874,,,,4,,,,2,,,,xuè,xiě,,,,,,,,,,,,,,,,,,
100074,行,1,42,681.78,261.28,-0.554,0.707,0.00,1,6,26032,776.00,5602,6,,,,264,,,,73109,,,,21,,,,3,,,,háng,xíng,héng,,,,,,,,,,,,,,,,,
100075,衣,1,38,663.46,178.39,-0.640,0.547,9.52,1,6,601,17.92,423,6,,,,110,,,,14941,,,,4,,,,1,,,,yī,,,,,,,,,,,,,,,,,,,
100076,亨,1,33,977.23,358.02,0.408,1.064,17.50,1,7,53,1.58,27,7,,,,2,,,,1584,,,,3,,,,2,,,,hēng,pēng,,,,,,,,,,,,,,,,,,
100077,估,1,39,774.28,239.72,-0.214,0.731,2.50,1,7,58,1.73,57,7,,,,13,,,,2862,,,,3,,,,2,,,,gū,gù,,,,,,,,,,,,,,,,,,
100078,伴,1,40,667.42,224.55,-0.534,0.652,2.44,1,7,525,15.65,414,7,,,,28,,,,4854,,,,2,,,,1,,,,bàn,,,,,,,,,,,,,,,,,,,
100079,似,1,38,708.74,255.03,-0.422,0.655,5.00,1,6,226,6.74,186,6,,,,23,,,,7493,,,,4,,,,2,,,,sì,shì,,,,,,,,,,,,,,,,,,
100080,佈,1,5,1280.96,657.51,1.677,2.054,87.18,1,7,1,0.03,1,7,,,,0,,,,1,,,,1,,,,1,,,,bù,,,,,,,,,,,,,,,,,,,
100081,位,1,37,779.48,345.23,-0.239,0.971,7.50,1,7,16368,487.92,4463,7,,,,101,,,,31427,,,,6,,,,1,,,,wèi,,,,,,,,,,,,,,,,,,,
100082,住,1,39,639.44,132.00,-0.716,0.367,2.50,1,7,19602,584.32,5175,7,,,,82,,,,38482,,,,3,,,,1,,,,zhù,,,,,,,,,,,,,,,,,,,
100083,佗,1,21,1094.27,270.03,0.756,0.961,48.78,1,7,1,0.03,1,7,,,,0,,,,1,,,,1,,,,1,,,,tuó,,,,,,,,,,,,,,,,,,,
100084,冶,1,36,899.72,356.89,0.225,1.026,12.20,1,7,5,0.15,5,7,,,,4,,,,18,,,,4,,,,1,,,,yě,,,,,,,,,,,,,,,,,,,
100085,刨,1,36,797.22,231.81,-0.107,0.687,10.00,1,7,44,1.31,37,7,,,,4,,,,92,,,,4,,,,2,,,,páo,bào,,,,,,,,,,,,,,,,,,
100086,别,1,41,705.19,265.49,-0.459,0.767,2.38,1,7,69865,2082.63,6143,7,,,,90,,,,102034,,,,7,,,,2,,,,bié,biè,,,,,,,,,,,,,,,,,,
100087,即,1,39,729.68,224.65,-0.462,0.594,7.14,1,7,906,27.01,603,7,,,,28,,,,8012,,,,6,,,,1,,,,jí,,,,,,,,,,,,,,,,,,,
100088,吝,1,29,835.09,201.57,0.066,0.759,27.50,1,7,1,0.03,1,7,,,,4,,,,114,,,,2,,,,1,,,,lìn,,,,,,,,,,,,,,,,,,,
100089,吞,1,39,637.82,157.32,-0.638,0.542,2.50,1,7,662,19.73,414,7,,,,22,,,,1176,,,,2,,,,1,,,,tūn,,,,,,,,,,,,,,,,,,,
100090,猩,1,36,795.12,282.99,-0.069,0.853,12.20,1,12,5,0.15,4,12,,,,8,,,,685,,,,1,,,,1,,,,xīng,,,,,,,,,,,,,,,,,,,
100091,吵,1,39,669.87,282.57,-0.550,0.792,2.50,1,7,2099,62.57,1437,7,,,,6,,,,3805,,,,3,,,,2,,,,chǎo,chāo,,,,,,,,,,,,,,,,,,
100092,吶,1,31,941.92,281.39,0.339,0.803,20.51,1,7,2,0.06,1,7,,,,0,,,,2,,,,2,,,,2,,,,nà,nè,,,,,,,,,,,,,,,,,,
100093,芋,1,37,781.29,184.66,-0.202,0.527,7.50,1,6,20,0.60,10,6,,,,3,,,,79,,,,4,,,,1,,,,yù,,,,,,,,,,,,,,,,,,,
100094,址,1,38,860.43,297.35,0.016,0.956,5.00,1,7,13,0.39,11,7,,,,15,,,,2291,,,,1,,,,1,,,,zhǐ,,,,,,,,,,,,,,,,,,,
100095,坑,1,41,756.95,277.78,-0.216,0.945,0.00,1,7,344,10.25,208,7,,,,22,,,,574,,,,4,,,,1,,,,kēng,,,,,,,,,,,,,,,,,,,
100096,块,1,39,798.84,267.70,-0.047,1.046,4.88,1,7,9365,279.16,3358,7,,,,37,,,,11381,,,,3,,,,1,,,,kuài,,,,,,,,,,,,,,,,,,,
100097,岚,1,37,912.92,315.60,0.301,1.124,7.50,1,7,9,0.27,3,7,,,,0,,,,9,,,,1,,,,1,,,,lán,,,,,,,,,,,,,,,,,,,
100098,彷,1,36,901.26,275.21,0.296,0.873,14.29,1,7,13,0.39,8,7,,,,1,,,,50,,,,2,,,,2,,,,páng,fǎng,,,,,,,,,,,,,,,,,,
100099,快,1,42,667.13,291.27,-0.667,0.805,0.00,1,7,53510,1595.10,5924,7,,,,65,,,,72900,,,,7,,,,1,,,,kuài,,,,,,,,,,,,,,,,,,,
100100,忸,1,15,1055.40,293.61,0.754,1.142,62.50,1,7,1,0.03,1,7,,,,1,,,,15,,,,1,,,,1,,,,niǔ,,,,,,,,,,,,,,,,,,,
100101,忾,1,24,1148.66,338.35,1.017,1.202,40.00,1,7,6,0.18,6,7,,,,0,,,,6,,,,3,,,,2,,,,kài,xì,,,,,,,,,,,,,,,,,,
100102,戒,1,41,672.00,221.68,-0.552,0.567,0.00,1,7,860,25.64,476,7,,,,29,,,,4018,,,,5,,,,1,,,,jiè,,,,,,,,,,,,,,,,,,,
100103,扰,1,39,754.23,212.73,-0.251,0.582,2.50,1,7,68,2.03,60,7,,,,15,,,,5673,,,,4,,,,1,,,,rǎo,,,,,,,,,,,,,,,,,,,
100104,扽,1,12,939.21,210.90,0.389,0.833,69.23,1,7,2,0.06,2,7,,,,0,,,,2,,,,1,,,,1,,,,dèn,,,,,,,,,,,,,,,,,,,
100105,把,1,38,710.38,301.38,-0.475,0.788,5.00,1,7,124534,3712.28,6234,7,,,,33,,,,126881,,,,12,,,,2,,,,bǎ,bà,,,,,,,,,,,,,,,,,,
100106,投,1,40,650.82,270.56,-0.682,0.615,0.00,1,7,2338,69.69,954,7,,,,63,,,,11258,,,,8,,,,1,,,,tóu,,,,,,,,,,,,,,,,,,,
100107,抚,1,32,863.88,279.58,0.101,0.908,21.95,1,7,48,1.43,38,7,,,,13,,,,1215,,,,4,,,,1,,,,fǔ,,,,,,,,,,,,,,,,,,,
100108,护,1,39,700.33,172.78,-0.442,0.571,4.88,1,7,733,21.85,428,7,,,,81,,,,17385,,,,2,,,,1,,,,hù,,,,,,,,,,,,,,,,,,,
100109,改,1,39,673.87,153.41,-0.504,0.511,2.50,1,7,1962,58.49,1329,7,,,,68,,,,12916,,,,2,,,,1,,,,gǎi,,,,,,,,,,,,,,,,,,,
100110,杈,1,17,1137.31,584.90,0.935,1.409,59.52,1,7,3,0.09,3,7,,,,1,,,,11,,,,2,,,,2,,,,chā,chà,,,,,,,,,,,,,,,,,,
100111,步,1,41,677.18,196.38,-0.545,0.764,2.38,1,7,4208,125.44,2342,7,,,,92,,,,11260,,,,7,,,,1,,,,bù,,,,,,,,,,,,,,,,,,,
100112,汴,1,18,1128.25,325.90,1.014,1.089,55.00,1,7,2,0.06,1,7,,,,0,,,,2,,,,1,,,,1,,,,biàn,,,,,,,,,,,,,,,,,,,
100113,沅,1,17,1150.94,480.84,1.001,1.300,57.50,1,7,15,0.45,1,7,,,,0,,,,57,,,,1,,,,1,,,,yuán,,,,,,,,,,,,,,,,,,,
100114,沆,1,16,1099.69,355.78,1.040,0.899,60.98,1,7,34,1.01,1,7,,,,1,,,,42,,,,3,,,,1,,,,hàng,,,,,,,,,,,,,,,,,,,
100115,沉,1,40,647.55,211.47,-0.635,0.464,0.00,1,7,496,14.79,354,7,,,,59,,,,3347,,,,5,,,,1,,,,chén,,,,,,,,,,,,,,,,,,,
100116,剜,1,28,924.43,295.48,0.379,1.111,28.21,1,10,9,0.27,8,10,,,,0,,,,9,,,,1,,,,1,,,,wān,,,,,,,,,,,,,,,,,,,
100117,沙,1,39,620.81,184.58,-0.735,0.476,2.50,1,7,739,22.03,407,7,,,,63,,,,5683,,,,5,,,,2,,,,shā,shà,,,,,,,,,,,,,,,,,,
100118,沟,1,38,698.51,196.74,-0.536,0.526,5.00,1,7,192,5.72,143,7,,,,19,,,,927,,,,2,,,,1,,,,gōu,,,,,,,,,,,,,,,,,,,
100119,灵,1,40,718.13,341.78,-0.390,0.971,2.44,1,7,1526,45.49,622,7,,,,60,,,,8472,,,,7,,,,1,,,,líng,,,,,,,,,,,,,,,,,,,
100120,灼,1,37,881.60,355.17,0.142,1.060,9.76,1,7,46,1.37,43,7,,,,7,,,,164,,,,3,,,,1,,,,zhuó,,,,,,,,,,,,,,,,,,,
100121,犹,1,39,895.93,395.52,0.127,1.097,2.50,1,7,116,3.46,56,7,,,,18,,,,3086,,,,5,,,,1,,,,yóu,,,,,,,,,,,,,,,,,,,
100122,甬,1,24,997.50,342.02,0.626,1.299,42.86,1,7,1,0.03,1,7,,,,0,,,,8,,,,4,,,,1,,,,yǒng,,,,,,,,,,,,,,,,,,,
100123,男,1,41,638.76,155.24,-0.670,0.777,2.38,1,7,5775,172.15,2626,7,,,,53,,,,30316,,,,3,,,,1,,,,nán,,,,,,,,,,,,,,,,,,,
100124,町,1,28,986.88,270.40,0.598,1.036,30.00,1,7,66,1.97,30,7,,,,0,,,,67,,,,3,,,,2,,,,tǐng,dīng,,,,,,,,,,,,,,,,,,
100125,盯,1,33,834.58,402.68,-0.012,1.161,17.50,1,7,2329,69.43,1600,7,,,,4,,,,2501,,,,1,,,,1,,,,dīng,,,,,,,,,,,,,,,,,,,
100126,肟,1,2,1084.39,816.60,0.468,1.947,92.68,1,7,3,0.09,3,7,,,,0,,,,3,,,,1,,,,1,,,,wò,,,,,,,,,,,,,,,,,,,
100127,育,1,37,735.49,333.26,-0.265,1.063,7.50,1,8,120,3.58,80,8,,,,52,,,,3232,,,,3,,,,1,,,,yù,,,,,,,,,,,,,,,,,,,
100128,見,1,21,1239.01,531.09,1.296,1.808,46.15,1,7,1,0.03,1,7,,,,0,,,,1,,,,1,,,,1,,,,xiàn,,,,,,,,,,,,,,,,,,,
100129,言,1,40,716.10,205.52,-0.446,0.564,0.00,1,7,1044,31.12,822,7,,,,161,,,,13176,,,,5,,,,1,,,,yán,,,,,,,,,,,,,,,,,,,
100130,谷,1,38,687.62,169.35,-0.520,0.568,5.00,1,7,517,15.41,223,7,,,,28,,,,1867,,,,5,,,,1,,,,gǔ,,,,,,,,,,,,,,,,,,,
100131,豆,1,40,727.66,312.18,-0.377,0.944,2.44,1,7,409,12.19,228,7,,,,54,,,,2056,,,,4,,,,1,,,,dòu,,,,,,,,,,,,,,,,,,,
100132,走,1,41,623.75,222.35,-0.728,0.624,0.00,1,7,65258,1945.30,6158,7,,,,92,,,,82765,,,,10,,,,1,,,,zǒu,,,,,,,,,,,,,,,,,,,
100133,辰,1,35,822.04,349.61,-0.090,1.047,12.50,1,7,22,0.66,12,7,,,,8,,,,112,,,,5,,,,1,,,,chén,,,,,,,,,,,,,,,,,,,
100134,迁,1,39,741.50,217.85,-0.269,0.789,7.14,1,6,47,1.40,44,6,,,,19,,,,457,,,,4,,,,1,,,,qiān,,,,,,,,,,,,,,,,,,,
100135,迂,1,34,916.00,245.99,0.092,0.665,19.05,1,6,1,0.03,1,6,,,,2,,,,54,,,,2,,,,1,,,,yū,,,,,,,,,,,,,,,,,,,
100136,酉,1,30,969.93,308.46,0.512,0.971,25.00,1,7,2,0.06,2,7,,,,0,,,,2,,,,2,,,,1,,,,yǒu,,,,,,,,,,,,,,,,,,,
100137,阪,1,24,979.51,276.64,0.505,0.795,40.00,1,6,36,1.07,8,6,,,,1,,,,114,,,,2,,,,1,,,,bǎn,,,,,,,,,,,,,,,,,,,
100138,阮,1,29,1036.51,402.81,0.773,1.510,29.27,1,6,15,0.45,5,6,,,,0,,,,15,,,,3,,,,1,,,,ruǎn,,,,,,,,,,,,,,,,,,,
100139,防,1,40,693.99,312.08,-0.387,1.104,0.00,1,6,827,24.65,654,6,,,,102,,,,6640,,,,4,,,,1,,,,fáng,,,,,,,,,,,,,,,,,,,
100140,阳,1,39,659.04,154.15,-0.583,0.409,0.00,1,6,203,6.05,132,6,,,,52,,,,4200,,,,12,,,,1,,,,yáng,,,,,,,,,,,,,,,,,,,
100141,麦,1,40,687.23,223.89,-0.532,0.583,0.00,1,7,1060,31.60,420,7,,,,36,,,,7500,,,,2,,,,1,,,,mài,,,,,,,,,,,,,,,,,,,
100142,龟,1,40,692.41,250.46,-0.558,0.699,0.00,1,7,150,4.47,99,7,,,,6,,,,592,,,,3,,,,3,,,,guī,jūn,qiū,,,,,,,,,,,,,,,,,
100143,乳,1,40,683.05,117.45,-0.460,0.459,2.44,1,8,334,9.96,232,8,,,,39,,,,1605,,,,6,,,,1,,,,rǔ,,,,,,,,,,,,,,,,,,,
100144,些,1,40,725.15,246.82,-0.364,0.694,2.44,1,8,21286,634.52,5399,8,,,,14,,,,113122,,,,3,,,,2,,,,xiē,suò,,,,,,,,,,,,,,,,,,
100145,京,1,37,758.47,204.48,-0.243,0.593,7.50,1,8,268,7.99,76,8,,,,10,,,,1329,,,,5,,,,1,,,,jīng,,,,,,,,,,,,,,,,,,,
100146,佪,1,18,1084.32,314.96,0.711,0.846,57.14,1,8,1,0.03,1,8,,,,0,,,,1,,,,3,,,,2,,,,huí,huái,,,,,,,,,,,,,,,,,,
100147,佯,1,36,890.58,223.86,0.073,0.602,14.29,1,8,18,0.54,8,8,,,,5,,,,40,,,,1,,,,1,,,,yáng,,,,,,,,,,,,,,,,,,,
100148,佰,1,28,995.88,307.14,0.578,1.138,30.00,1,8,3,0.09,2,8,,,,4,,,,14,,,,1,,,,1,,,,bǎi,,,,,,,,,,,,,,,,,,,
